Weight_Completes|Respondent_ID|Country|S3_DV|TravelAssignment|T4a|T5|O26D|O26D2_2nd|O26D2_3rd|O26E|SEG01|SEG01_x2|SEG02|SEG02_x2|SEG03|SEG03_x2|SEG04|SEG04_x2|SEG05|SEG05_x2|SEG06|SEG06_x2|SEG07|SEG07_x2|SEG08|SEG08_x2|SEG09|SEG09_x2|ND01|ND02|ND03|ND04|ND05|ND06|ND07|ND08|ND09|ND10|ND11|ND12|ND13|ND14|ND15|ND16|ND17|ND18|ND19|ND20|ND21|ND22|ND23|ND24|ND25|ND26|ND27|ND28|ND29|ND30|ND31|ND32|ND33|ND34|ND35|ND36|ND37|ND38|ND39|ND40|ND41|ND42|ND43|ND44|ND45|ND46|ND47|ND48|ND49|ND50|ND51|ND52|ND53|ND54|ND55|ND56|ND57|ND58|ND59|ND60|ND61|ND62|ND63|ND64|ND65|ND66|ND67|ND68|ND69|DIM01|DIM01_x2|DIM02|DIM02_x2|DIM03|DIM03_x2|DIM04|DIM04_x2|DIM05|DIM05_x2|DIM06|DIM06_x2|DIM07|DIM07_x2|DIM08|DIM08_x2|DIM09|DIM09_x2|DIM10|DIM10_x2|DIM11|DIM11_x2|DIM12|DIM12_x2|DIM13|DIM13_x2|DIM14|DIM14_x2|DIM15|DIM15_x2|DIM16|DIM16_x2|DIM17|DIM17_x2|DIM18|DIM18_x2|DIM19|DIM19_x2|DIM20|DIM20_x2|DIM21|DIM21_x2|TB01|TB02|TB03|TB04|TB05|TB06|TB07|TB08|TB09|TB10|TB11|TB12|TB13|TB14|TB15|TB16|TB17|TB18|TB19|TB20|TB21|TB22|TB23|TB24|TB25|TB26|TB27|TB28|TB29|TB30|TB31|TB32|TB33|TB34|TB35|TB36|TB37|TB38|TB39|TB40|TB41|TB42|TB43|TB44|TB45|HS01|HS01_x2|HS02|HS02_x2|HS03|HS03_x2|HS04|HS04_x2|HS05|HS05_x2|HS06|HS06_x2|HS07|HS08|HS09|HS09_x2|HS10|HS10_x2|HS11|HS12|HS12_x2|HS13|HS14|HS15|HS16|HS17|HS18|HS18_x2|HS19|HS20|HS21|HS21_x2|HS22|HS22_x2|HS23|HS24|HS25|HS25_x2|HS26|HS26_x2|HS27|HS28|HS28_x2|HS29|HS29_x2|HS30|HS31|HS32|HS33|HS34|HS34_x2|HS35|HS35_x2|HS36|HS37|HS37_x2|HS38|HS39|HS39_x2|HS40|HS40_x2|HS41|HS42|HS42_x2|HS43|HS43_x2|HS44|HS44_x2|HS45|HS46|HS47|HS47_x2|HS48|HS49|HS49_x2|UC01|UC02|UC03|UC04|UC05|UC06|UC07|UC08|UC09|UC10|UC11|UC12|UC13|UC14|UC15|UC16|UC17|UC18|UC19|UC20|UC21|UC22|UC23|UC24|UC25|UC26|UC27|UC28|UC29|UC30|UC31|UC32|UC33|UC34|UC35|UC36|UC37|UC38|UC39|UC40|UC41|UC42|UC43|UC44|UC45|UC46|UC47|UC48|UC49|LC01|LC02|LC03|LC04|LC05|LC06|LC07|LC08|LC09|LC10|LC11|LC12|LC13|LC14|LC15|LC16|LC17|LC18|LC19|LC20|LC21|LC22|LC23|LC24|LC25|LC26|LC27|LC28|LC29|LC30|LC31|LC32|LC33|LC34|LC35|LC36|LC37|LC38|LC39|LC40|LC41|LC42|LC43|LC44|LC45|LC46|LC47|LC48|LC49|BPS01|BPS02|BPS03|BPS04|BPS05|BPS06|BTS01|BTS01_x2|BTS02|BTS02_x2|BTS03|BTS03_x2|BTS04|BTS04_x2|BTS05|BTS05_x2|BTS06|BTS06_x2|BTS07|BTS07_x2|BTS08|CDIMB|UDIMB|CPB|HIB|HIEB|ICB|INB|EVB|ESB|FDIM|BTCF|BPSF|WBDIM|RGDIM|FTDIM|SBDIM|MBPDIM|BPDIM|BBIDIM|SDIM
0.4989265002|1|4|1|3|5|2|60|61|75|2|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.005130098|0|1.231001643|1.203960562|1.014651217|1.035547099|0.962373935|0|0|0.953175414|0.988350396|0|1.016131787|1.124742731|0|0|0.97542449|0.955977734|0.946021466|0|0|0|||||||0|0||||||||0|||||0||0||0||0|||0|1.052364382|0||0|0|||||0.913255241|0.942064149||1.036224286|0.986717652|||||1|1|0|0|0|0|1|1|0|0|||0|0|||||||||||||||||||||||||1|1|0|0|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|1|0|1|0|0|0|0|1|1|0|0|0|1|1|0|1|1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||0|0|0|||||||||||||||||0||||||||||||||||||||||||||||||1|1|1|||||||||||||||||1||||||||||||||||||||||||||||0|0|0|1|0|0|||||||1|1|||||1|1||1|||1|||1|1||1|1|1||1||1||||
0.5454281313|2|4|4|3|4|2|146||||0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.005130098|0|0|0|0|0|0.962373935|0|0|0.953175414|0.988350396|0|0|0|0|0|0.97542449|0.955977734|0.946021466|0|0|0|||||||0|0||||||||0|||||0||0||0||0|||0|0|0||0|0|||||0|0||0|0|||||0|0|0|0|0|0|1|1|0|0|||0|0|||||||||||||||||||||||||0|1|0|0|0|0|0|0|0|0|0||||||||||||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||0||0|||||0|0|0|||0|||||||||||||||||||||||||||||||||||||0||0|||||0|0|0|||0||||||||||||0|0|0|1|0|0|||||1|1|1|1|||||1|1||1|||1||1|1|1||1|1|1||1||||||
0.8222318458|3|3|3|3|3|8|185||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.223831025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||0|||||||0||0||0||0||0|0|0|0||0||||0|||||0|0|||0|0|0|0|0|0|||||0|0|||0|0|||||||||||||||||||||||||0|1|0|0|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||0||||||||||||||||0||||||||0|||||||||||||||||||||||||0||||||||||||||||0||||||||0|||||||||||||||||||||0|0|0|1|0|1|||1|1|1|1|1|1|||||1|1|||||1||1|1|1|||1|1||||||||
1.8530667355|4|3|4|1|5|1|112|54||1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.080573282|1.037410904|1.089124238|1.081852978|0.969833298|0|1.183896399|1.258194572|0|0|0|1.164199754|1.106900613|0|0.738994885|1.066200142|1.071725251|1.185708376|1.199470569|1.192844029|1.028319385|1.161969088|1.272513546|1.054259619|1.069449611|0.926974534|1.206092056|1.129524808|1.23103169|1.225536258||1.137093076||1.215806888|1.23686012||1.095790227|||||1.209130264||1.262100938|||1.289224404|1.197251411||1.199873178||0|1.222368202|1.217868041|||1.165092063||1.27425165|||1.224452386||||1.200614771|0|1|1|0|0|||||||||||||1|1|||1|1|1|1|1|1|||||||||1|1|||||||0|1|0|0|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||0||0|||||||||||||||||||||0||||||||||||||||||||||||||0||0|||||||||||||||||||||0||||||||0|1|0|0|0|0|||||1|1|||1|1|||1|1|1|1|1||1|1|1||1||1|1|1|1|1|1|1|1|1|1|1
0.982029904|5|3|4|3|3|1|62|113|54|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.108279941|1.080573282|0|0|1.081852978|0.969833298|1.110910392|1.183896399|1.258194572|0|1.184780272|1.223831025|1.164199754|1.106900613|0|0|1.066200142|0|1.185708376|1.199470569|1.192844029|0|1.161969088|1.272513546|1.054259619|0|0|1.206092056|1.129524808|1.23103169|1.225536258||1.137093076||1.215806888|1.23686012||1.095790227|||||1.209130264||1.262100938|||1.289224404|1.197251411||0||0|1.222368202|1.217868041|||1.165092063||1.27425165|||1.224452386||||1.200614771|1.225802152|1|1|0|0|||||||||||||1|1|||0|0|1|1|1|1|||||||||1|1|||||||0|1|0|0|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||0||0|||||||||||||||||||||0||||||||||||||||||||||||||0||0|||||||||||||||||||||0||||||||0|1|0|0|0|0|||||1|1|||1|1|||1|1|1|1|1||1|1|1||1||1|1|1|1|1|1|1|1|1|1|1
0.7365768987|6|3|2|1|2|1|60|83||1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.035500639|1.108279941|1.080573282|1.037410904|1.089124238|1.081852978|0.969833298|1.110910392|1.183896399|1.258194572|1.03143398|1.184780272|1.223831025|1.164199754|1.106900613|1.025393134|0.738994885|1.066200142|1.071725251|1.185708376|1.199470569|1.192844029|1.028319385|1.161969088|1.272513546|1.054259619|1.069449611|0.926974534|1.206092056|1.129524808|1.23103169|1.225536258||1.137093076||1.215806888|1.23686012||1.095790227|||||1.209130264||1.262100938|||1.289224404|1.197251411||1.199873178||1.118696326|1.222368202|1.217868041|||1.165092063||1.27425165|||1.224452386||||1.200614771|1.225802152|1|1|1|1|||||||||||||1|1|||1|1|1|1|1|1|||||||||1|1|||||||0|0|1|0|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||0||||||||||||||||||1|1||||||||0||||1||||||||0||||||||||1||||||||||||||||||0|0||||||||1||||0||||||||0||||||||0|1|0|0|0|0|||1|1|1|1|||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1||1|1|1|1|1|1|1|1|1|1|1
0.3903478095|7|3|2|3|4|1|83|185||2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.035500639|1.108279941|1.080573282|1.037410904|1.089124238|1.081852978|0.969833298|1.110910392|1.183896399|1.258194572|1.03143398|1.184780272|1.223831025|1.164199754|1.106900613|1.025393134|0.738994885|1.066200142|1.071725251|1.185708376|1.199470569|1.192844029|1.028319385|1.161969088|1.272513546|1.054259619|1.069449611|0.926974534|1.206092056|1.129524808|1.23103169|1.225536258||1.137093076||1.215806888|1.23686012||1.095790227|||||1.209130264||1.262100938|||1.289224404|1.197251411||1.199873178||1.118696326|1.222368202|1.217868041|||1.165092063||1.27425165|||1.224452386||||1.200614771|1.225802152|1|1|1|1|||||||||||||1|1|||1|1|1|1|1|1|||||||||1|1|||||||1|0|0|0|0|0|0|0|0|0|0||||||||||||1|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||1||||||||||||||||||1|0||||||||0||||0||||||||1||||||||||0||||||||||||||||||0|0||||||||1||||0||||||||0||||||||0|1|0|0|0|0|||1|1|1|1|||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1||1|1|1|1|1|1|1|1|1|1|1
0.301840354|8|5|2|2|2|4|186|49||2|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.944988546|0|0|0|0|0|0|0|0|0|0|0|0.958970063|0|0|0|||||||||||||||||||||||||||||||||||||0||||||||||||||||||||||||||||||||||||||||||||0|0|0|0|||0|1|1|1|0|0|0|0|0|0|0||||||||||||0|1|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||0|||||||||||||||0|0|1|0|0|0|||1|1|1|1|1|1|1|1|1|1|1|1||||1|1|1|1|1|1|||1|1||||||||
0.7707029448|9|5|2|3|2|4|186|108||1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.944988546|0|0|0|0|0|0|0|0|0|0|0|0.958970063|0|0|0|||||||||||||||||||||||||||||||||||||0||||||||||||||||||||||||||||||||||||||||||||0|0|0|0|||1|1|0|0|0|0|0|0|0|0|0||||||||||||0|1|0|0|1|1|0|1|0|0|0|1|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||0|0|1|0|0|0|||1|1|1|1|1|1|1|1|1|1|1|1||||1|1|1|1|1|1|||1|1||||||||
0.2531273967|10|4|2|3|2|6|117|31|38|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|1.812030877|0|1.456512075|1.005130098|0|0|0|1.014651217|1.035547099|0|1.153500378|0|0|0.988350396|0|1.016131787|0|0|1.104528246|0.97542449|0|0|0|1.25660277|0.948723739|||||||||||||1.130096186||1.094963463||||||1.61459568||||0|||0.998984592||0|||||||1.117160549||||||||||||||||||||||||0|0|||||||||1|1|0|0|0|0|||||||||||0|1|0|0|0|0|0|0|0|0|0||||||||||||1|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||0||||||||0|0||||0||||||||||||||||||||||||||||||||||||1||||||||0|0||||0||||||||||||||||||||||||1|0|0|1|0|0|||1|1|1|1|||||1|1|1|1||1||1|||1|1|1||1|1|1|||||1|1|1|
